,full_text_id,segment,arg_comp,sem_type,arg_comp_correct,sem_type_correct
31,1,city's purpose is to prevent annoyance,claim,interpretation,claim,interpretation
32,1,city of the property owner,premise,logos,NA,NA
33,1,want to be,claim,evaluation-rational,NA,NA
34,1,"That is correct, Your Honor, that is not",claim,agreement,claim,agreement
35,1,"The purpose is to prevent th- the p- the purpose of the registration, is the initial registration",claim,evaluation-rational,claim,interpretation
36,1,to identify who in the community is going door to door,premise,logos-pathos,claim,interpretation
37,1,"Because of two factors, the f- privacy of the oh person who lives with",premise,logos-pathos,premise,logos-pathos
38,1,"I- In Martin versus Struthers, Your Honor, in footnote five, this Court relied upon the utilization of a book as well as an FBI bulletin to determine that those who go door to door may be doing so as a guise",premise,logos,premise,logos
39,1,"That provision is a catch-all to determine or make sure that the identifying identifying information is present, the identification o- of the individual as well",premise,logos,premise,logos
40,1,The first five sections of that subsection give the information,claim,evaluation-rational,premise,logos
41,1,"That's correct, Your Honor",NA,NA,NA,NA
42,1,"I'm going to suggest to Your Honor that it does, and the reason that it does is",claim,evaluation-emotional,claim,interpretation
43,1,"because it I it requires identification information, and that identification information is necessary regardless of whether someone is going to solicit funds, or whether or not he is going to going t- going to go door to door for some other",premise,logos-pathos,premise,logos-pathos
44,1,U- The determination of the nature and the amount of risk is perhaps highlighted by MacMurray's testimony,premise,logos,premise,logos
45,1,"Your Honor, the issue the issue in at the registration aspect deals with that we are not at the point of persuasion",claim,evaluation-rational,claim,evaluation-rational
46,1,"Y- Your Honor, I would suggest that you resolve it based on the record",claim,agreement,claim,evaluation-rational
47,1,"Your Honor, this case was tried on the registration requirement",premise,logos,premise,logos
48,1,"No, Your Honor",premise,logos-pathos,NA,NA
49,1,of the of the language,premise,logos,NA,NA
50,1,"The display, there is a display of the permit required on demand",premise,logos,premise,logos
51,1,"Yes, Your",NA,NA,NA,NA
52,1,The village would be acting as a bulletin board,premise,logos,premise,logos-pathos
53,1,"Your Honor, there is no requirement that anyone decide that anyone allow someone else to come into their home w- if whether for a good or a bad purpose",claim,evaluation-rational,claim,interpretation
54,1,"Well, we are only assisting that u- u- that the u- prior cases that this Court has considered deals with the Government being some type of a censor or limiter of the speech that is going",premise,logos,premise,logos
55,1,"Your Honor, I believe that that would be invalid on its face",claim,interpretation,claim,evaluation-rational
56,1,Because the issue there is that this is a speech that is not that they do not wish to a- to accept,premise,logos,premise,logos-pathos
57,1,"Well, the the the issue here, Your Honor, is dealing with whether or not this is a consensual intrusion",claim,interpretation,claim,interpretation
58,1,"That would be appropriate to c-
Thank you, Your Honor",NA,NA,NA,NA
59,2,Mr,NA,NA,NA,NA
60,2,"Chief Justice, and may it please the Court:
I read with interest and pleasure the tribute to the late Justice Fortas that was recently presented to this Court",NA,NA,NA,NA
61,2,"Solicitor General Lee remarked, that Justice Fortas warned that the Court should be chary of overreaching",premise,logos-pathos,,
62,2,"He quoted Justice Fortas thusly,
""The Courts may be the principal guardians of the liberties of the people",premise,logos-pathos,,
63,2,"""
""They are not the chief administrators of its economic destiny",premise,logos-pathos,,
64,2,"""
The government argues in its briefs that they need this material so they can protect the public fist, the public revenue",premise,logos-pathos,,
65,2,"We have no quarrel with the duty of IRS to collect taxes,",claim,evaluation-rational,,
66,2,but there is nothing to collect here,NA,NA,,
67,2,We are not here to decide the most efficient or the most expeditious way for IRS to collect those taxes,claim,interpretation,,
68,2,I think we are here for a very narrow purpose to decide whether under the facts of Baggot the government may pay sufficient showing to penetrate the historic rule of grand jury secrecy,claim,interpretation,,
69,2,"What the Court of Appeals did in this case was balance the competing public interests, that of grand jury secrecy against a civil tax examination, and they properly held for grand jury secrecy",premise,logos,,
70,2,"The Court recognized that a liberal disclosure policy would facilitate tax collection,",premise,logos,,
71,2,but they decided that the interest in grand jury secrecy outweighed that,NA,NA,,
72,2,"This case arose, Your Honors, from a letter that was sent by an IRS civil examination head to the United States Attorney, and he requested grand jury testimony--
--His name was--
--He was chief of the Civil Audit Division in Chicago, Your Honor",premise,logos,,
73,2,"Well, no",premise,logos-pathos,,
74,2,That is what I am getting to,claim,evaluation-rational,,
75,2,He requested these grand jury testimony and these documents to determine whether there is civil tax liability,premise,pathos,,
76,2,They were going to have an examination to see if there should be a deficiency,premise,logos,,
77,2,"No, sir, he was not",premise,logos-pathos,,
78,2,"Well, to be honest with you, what happened is the U",premise,logos-pathos,,
79,2,S,NA,NA,,
80,2,Attorney choned this information out of the Civil Tax Audit Division,premise,logos-pathos,,
81,2,"What had happened, Your Honor, was there were three different requests for disclosure, all of which were denied by the Court below",premise,logos,,
82,2,Then what happened is the United States Attorney transferred over to the chief of the Civil Audit Division matters of public record,premise,logos,,
83,2,"And, there is nothing wrong with that",claim,evaluation-emotional,,
84,2,"He sent over the information, the plea sentencing transcript, and the day that they took the plea",premise,logos-pathos,,
85,2,"He, then, said, oh my goodness, it looks like there might be something here, and he sent a letter back and said, would you please send us anything that you might have that would bear on the civil tax liability of this taxpayer",premise,pathos,,
86,2,"His letter is appended to our brief, Your Honor",premise,logos-pathos,,
87,2,By virtue of the fact that the U,premise,logos-pathos,,
88,2,S,NA,NA,,
89,2,Attorney sent the matters of public record to him,premise,logos-pathos,,
90,2,They did not have an independent audit going against this taxpayer,premise,logos,,
91,2,"Now, it is important to remember that the taxpayer, Mr",premise,logos-pathos,,
92,2,"Baggot, did not plead to any tax-related violation",premise,logos-pathos,,
93,2,"He plead to two commodity violations, and that information is set forth at page 3A in our appendix",premise,pathos,,
94,2,"There is no tax-related violation, and the Solicitor General is wrong when he says that there was",premise,logos-pathos,,
95,2,There were two commodity violations for bid rigging or what they call wash trades,premise,logos,,
96,2,"Now, one reason the government does not qualify under the preliminary to exception arises from the unique statutory provisions of IRS",claim,evaluation-rational,,
97,2,Congress provided that IRS has no right or no ability to initiate litigation over a civil tax liability,premise,pathos,,
98,2,That right belongs exclusively to the taxpayer,premise,logos,,
99,2,"Even if IRS wanted to go to court and sue somebody for paying their taxes, they cannot do it by statute",premise,logos-pathos,,
100,2,The procedure arises thusly,claim,evaluation-rational,,
101,2,"Normally, not in this case, an examination takes place of a return, and IRS decides whether they may compute a proposed deficiency",premise,logos,,
102,2,"If they decide there is a proposed deficiency a preliminary notice of that proposed deficiency is sent to the taxpayer, and he then has an opportunity to come in and talk to that examiner and settle or pay, or he can appeal within the IRS administrative procedure to their appeals office",premise,pathos,,
103,2,"If he is unsuccessful there in negotiating and if he does not want to pay, IRS then issues what is called a 90-day notice of deficiency and that officially determines the amount of the deficiency",premise,logos,,
104,2,"A letter goes out to the taxpayer, and it says, you owe 90 days to pay it or else",premise,pathos,,
105,2,"That letter of deficiency, that 90-day--
--No, sir",premise,logos-pathos,,
106,2,"No, it is not or go to the Tax Court",premise,logos-pathos,,
107,2,"because if the taxpayer decides not to go to the Tax Court, Justice Blackmun, IRS can go seize his assets",premise,logos-pathos,,
108,2,"But, what happens with that 90-day letter, that notice of deficiency, it triggers the right of the taxpayer to initiate litigation",premise,logos-pathos,,
109,2,He has two choices,claim,interpretation,,
110,2,"He can go to the Tax Court and ask them to redetermine that deficiency, or he can pay the amount owed, then file a suit in the federal district court for a tax refund",premise,logos-pathos,,
111,2,"Pardon, sir?
Yes, sir",NA,NA,,
112,2,You are right,claim,agreement,,
113,2,I was just talking about the triggering of the litigation,premise,ethos-logos-pathos,,
114,2,"The only, as I said, only the taxpayer has the right to file suit and that is",premise,logos-pathos,,
115,2,because IRS does not have any need for litigation,claim,evaluation-rational,,
116,2,"If the taxpayer does not go to court, the Internal Revenue Service determination is final and an assessment was made",premise,logos,,
117,2,"Now, the Solicitor General Wallace said, oh, we are here to find out about an assessment",premise,logos-pathos,,
118,2,We are a long way of an assessment,claim,evaluation-rational,,
119,2,We are not any where near an assessment,premise,logos,,
120,2,"Now, if the taxpayer does not pay what the assessment says, IRS can seize and sell his assets without a court order",premise,logos,,
121,2,"In General Motors Leasing, this Court said that a tax assessment is given the force of a judgment",premise,logos,,
122,2,"Now, here the first step has not been taken yet",claim,evaluation-rational,,
123,2,There has not been an examination,premise,logos,,
124,2,There is no proposed deficiency,claim,evaluation-rational,,
125,2,"There is no notice of deficiency, and there is no assessment",premise,logos,,
126,2,"All we have is the desire, the bear, naked desire of IRS to see if there is a tax liability",premise,pathos,,
127,2,"Now, the government motion here sought disclosure for use preliminary to or in connection with a judicial proceeding relating to the tax liability of the Respondent",premise,logos-pathos,,
128,2,There is no tax liability,premise,logos-pathos,,
129,2,There is not even a proposed tax liability,premise,logos,,
130,2,"The Seventh Circuit, I think, rightly held that Mr",claim,evaluation-rational,,
131,2,"Baggot's possible tax liability was too embryonic, was too speculative, and was too uncertain--
--I would certainly hope that I would know about mine, Mr",premise,logos-pathos,,
132,2,Chief Justice,premise,logos,,
133,2,"I suppose that is possible under certain interpretations that IRS might make, yes sir",claim,interpretation,,
134,2,At least suggested,claim,evaluation-rational,,
135,2,"We do not even have that, Your Honor",premise,logos-pathos,,
136,2,"As I say, I suppose that is possible",claim,interpretation,,
137,2,"But that is certainly--
--Yes, sir",NA,NA,,
138,2,"I understand, and I agree with that,",NA,NA,,
139,2,but that is certainly not our situation here,NA,NA,,
140,2,"At best we have--
--Yes, sir",NA,NA,,
141,2,In that regard,NA,NA,,
142,2,"Now, there was a dissent in this case by Judge Pell, and I am willing to accept the definitions that Judge Pell gave for preliminary to",NA,NA,,
143,2,"He said, preceding the main business or lying before, or leading to",premise,logos,,
144,2,"Now, I suggest to the Court that the main business of a tax examination is the calculation of a deficiency",premise,logos,,
145,2,That is not a judicial proceeding,premise,logos,,
146,2,"The calculation is an administrative function, and it is not preparatory to a law suit",premise,logos,,
147,2,"First of all, I would correct you",claim,agreement,,
148,2,"because when you say continue to investigate, they have not conducted any investigation of this taxpayer",premise,logos-pathos,,
149,2,They first made their request for these materials in March of 1978,premise,logos,,
150,2,"That is over five years ago, Your Honor",premise,logos,,
151,2,"And, they have not yet conducted their own investigation, and I am getting to their power",premise,logos-pathos,,
152,2,"They have enormous power--
--I will get specifically to your question",premise,logos-pathos,,
153,2,"It is cited in our brief, Professor LaFave testified before the House Committee that was considering the 1977 amendments to the 6(e) rule, and the concern was not as Solicitor Wallace says, the concern was if we give administrative agencies this information for criminal purposes as they are allowed to do, the concern was that there would be leakage back to those agencies so that they would use it for unrelated civil purposes",premise,logos-pathos,,
154,2,"When questioned about that, Professor LaFave said unless it was a matter most critical to their undertaking and unless they could demonstrate that they had no other comparable way of obtaining this evidence, they could not get to the evidence under the preliminary to exception",premise,logos-pathos,,
155,2,"Yes, sir",NA,NA,,
156,2,I think it is a two-prong test,claim,interpretation,,
157,2,"Number one, is it preliminarily to, which involves the balancing of a competing interest among other things, and the second test is particularized need, which has been set forth by this Court",NA,NA,,
158,2,"I do not know if ever, Your Honor",premise,pathos,,
159,2,That is what I am saying,claim,evaluation-rational,,
160,2,I suppose,NA,NA,,
161,2,"I do not want to say that the preliminary--
--No, sir,",NA,NA,,
162,2,"but I think at a minimum they would have to use their own investigative procedures--
--They have done nothing in this case, and--
--I do not know when that is, Your Honor",NA,NA,,
163,2,I do not know when that is,premise,logos-pathos,,
164,2,I don't think that we can,claim,interpretation,,
165,2,"I think we can--
--Certainly not in this stage, and I do not think--
--That is right, Your Honor",NA,NA,,
166,2,"Perhaps--
--I would say yes",NA,NA,,
167,2,"That would be in connection with--
--I would not say never because, I was taught a long time ago that that is a bad, bad word--
[Laughter]
Yes, sir",NA,NA,,
168,2,Not under those facts alone,premise,logos,,
169,2,"If they see that in the newspaper, they can certainly start their own Internal Revenue Service investigation",premise,logos,,
170,2,They have massive powers,premise,logos,,
171,2,"They have subpoena powers--
--If there were grand jury minutes in that case, I do not think they could go for them unless they have shown that they have used their own powers",premise,logos-pathos,,
172,2,"If you are talking, Your Honor, about a criminal case, they can have them",premise,logos-pathos,,
173,2,"But, you said he plead guilty to embezzlement, not to income tax violations",premise,logos-pathos,,
174,2,"If we are talking about civil purposes, the primary reason for the grand jury, and it is in the Fifth Amendment, is that it is an accusatory body to bring criminal matters, felony criminal matters",premise,logos,,
175,2,It is not to be used for civil matters,premise,logos,,
176,2,"This Court said in Proctor & Gamble, it would be flouting the purpose of the law if it were used solely for civil matters",premise,logos-pathos,,
177,2,"I will go along with Justice White who asked Solicitor General--
--I understand that",premise,logos-pathos,,
178,2,"That is over with,",NA,NA,,
179,2,but they still had no right to those grand jury minutes,NA,NA,,
180,2,What they do if they do that is they circumscribe the intent of Congress when it is an improper use of the grand jury,premise,logos,,
181,2,"If there is a criminal case, Your Honor, the matter becomes public knowledge",premise,logos-pathos,,
182,2,There is testimony,premise,logos-pathos,,
183,2,"It is public knowledge--
--Okay, and I am suggesting incipiency is not enough",NA,NA,,
184,2,"I think at a minimum you need a controversy, a case or a controversy at the administrative level",claim,evaluation-rational,,
185,2,"At the administrative level, under that you really have nothing",premise,logos,,
186,2,In your mind you know pretty well if this guy only reported $2,premise,logos-pathos,,
187,2,"50, he has got a big tax liability if he embezzled a million",premise,logos-pathos,,
188,2,"But, technically as far as the Rule is concerned, as far as IRS procedures are concerned, there is nothing determined until there is a notice of deficiency",premise,logos,,
189,2,"No, sir",NA,NA,,
190,2,"No, sir",NA,NA,,
191,2,"If the work papers are the direct product of the grand jury, I would still stick to my answer",claim,evaluation-rational,,
192,2,"No, sir, Justice Marshall",premise,logos-pathos,,
193,2,"If the work papers are generated outside of the grand jury, yes, they can get them",premise,logos,,
194,2,"Yes, ma'am",premise,logos-pathos,,
195,2,Yes,claim,agreement,,
196,2,I do not think we can draw a bright-line test,claim,interpretation,,
197,2,I have thought a great deal about this,claim,evaluation-rational,,
198,2,"The easy answer, I think, is if you file a deficiency notice that should be a sufficient time for them to come in and say it is preliminary to",claim,evaluation-rational,,
199,2,"But, what I think will happen if this Court establishes that kind of test is IRS will run right around end",claim,evaluation-rational,,
200,2,"And, they will crank out",premise,logos-pathos,,
201,2,it will be an open invitation for them to crank out deficiency notices just like popcorn,premise,logos,,
202,2,"So, I think what you have to do is take it on a case-by-case basis, use the flexibility of the court",claim,evaluation-rational,,
203,2,It is a discretionary matter,claim,evaluation-rational,,
204,2,6(e) is a discretionary matter,claim,evaluation-rational,,
205,2,"It is not mandatory, and I think you have to talk about the tests that were set forth in Douglas Oil and balance the competing interest against the relevant circumstances and against the standards that were set and see if--
--Yes, sir",claim,evaluation-rational,,
206,2,"As I say, I do not think you can establish a bright-line test here",claim,evaluation-rational,,
207,2,"Justice O'Connor, I think my answer lies with Congress and they way that they set forth that statute",claim,evaluation-emotional,,
208,2,"No, I do not,",claim,agreement,,
209,2,because the Seventh Circuit said that they would not fashion a special judicial exception to 6(e) for the benefit of IRS,premise,pathos,,
210,2,"And, that is what the government is asking you to do here",NA,NA,,
211,2,"And, Justice White put his finger on it in his question earlier",premise,pathos,,
212,2,"They are not saying, well at this point we have established preliminary to",premise,logos,,
213,2,They are saying everything is preliminary to,premise,logos,,
214,2,They are asking for automatic access,premise,logos-pathos,,
215,2,"No, sir, what I am saying is that what Congress said",premise,logos-pathos,,
216,2,"because of--
--Yes",NA,NA,,
217,2,"What they said, number one, it takes a court order",premise,logos-pathos,,
218,2,"Number two, they said they did not want any leakage back",premise,logos-pathos,,
219,2,"Number three, they said--
--Oh, yes, you can",NA,NA,,
220,2,"That is what the Rule says, Your Honor",NA,NA,,
221,2,That is what the Rule says,claim,evaluation-rational,,
222,2,You can have disclosure preliminary to or in connection with,premise,logos,,
223,2,"Yes, sir",NA,NA,,
224,2,"No, I am saying that that stage may be reached at some critical stage within IRS procedures,",claim,evaluation-rational,,
225,2,but I cannot define,NA,NA,,
226,2,but we certainly have not reached it in Baggot,NA,NA,,
227,2,"Yes, sir",NA,NA,,
228,2,"Your Honor, I am not qualified to speak to the facts of Sells",premise,logos-pathos,,
229,2,"But, again, never is a bad word",claim,evaluation-rational,,
230,2,"I think if the Civil Division, one, showed that it was preliminary to, and number two showed a particularized need--
--Then, I do not think that is sufficient",NA,NA,,
231,2,An investigation is not sufficient,claim,evaluation-rational,,
232,2,"Justice O'Connor, you are getting me into the Sells case, and I do not know the Sells case",premise,logos-pathos,,
233,2,"The only thing I know about Sells is that if this Court accepts any lessened standard of particularized need that they opt for in Sells, i",NA,NA,,
234,2,e,NA,NA,,
235,2,"rationally related, and if this Court adopts the position that they are taking here and giving administrative agencies automatic access to grand jury materials, you signal the death bell of the grand jury",premise,logos,,
236,2,because there would be no more secrecy at all,premise,logos,,
237,2,"Secrecy will be gone, and the vital function of the grand jury as a criminal accusatory body in the criminal justice system will be devastated",premise,logos-pathos,,
238,2,"Yes, sir",NA,NA,,
239,2,"I think--
--I think the law will be changed",claim,evaluation-emotional,,
240,2,The practice will change,claim,evaluation-rational,,
241,2,Fifty percent of the test for disclosure is gone,premise,logos,,
242,2,#NAME?,NA,NA,,
243,2,The judge's action below will be purely ministerial,claim,evaluation-rational,,
244,2,They want automatic access,premise,logos-pathos,,
245,2,"They will render the--
--I am not sure what you have",premise,logos,,
246,2,"If you are talking about what he says, oh, it has been routine and we have done this all",premise,logos-pathos,,
247,2,"Your Honor, that is certainly not true",claim,agreement,,
248,2,"He talked about Judge Becker, and what I suggest you do is look at the Pflaumer case and look at the Hawthorne case, both of which were written by Judge Becker--
--No, I did not say Judge Becker was wrong",premise,pathos,,
249,2,"Just hear me out, please",premise,pathos,,
250,2,"If you remember, Justice Stevens asked Mr",NA,NA,,
251,2,Wallace can you document it,premise,logos,,
252,2,"And he said, no we cannot",NA,NA,,
253,2,Judge Becker agonized over those two decisions,premise,logos-pathos,,
254,2,He talked about how unclear 6(e) was,premise,pathos,,
255,2,"He asked this Court to clear up the confusion created by 6(e), and that is what lead to the 1977 amendments",premise,logos,,
256,2,"And those 1977 amendments said, yes, give it to IRS for criminal purposes,",premise,logos,,
257,2,"but when that access is gone, it stays with the U",NA,NA,,
258,2,S,NA,NA,,
259,2,Attorney and they have to come in for an order under the preliminary to or connection with exception before they can have any of this material,premise,logos,,
260,2,"That was the whole purpose of the 1977 amendment, and there was not any routine disclosure at all",premise,logos,,
261,2,The preliminary to rule has remained unchanged,premise,logos,,
262,2,since it was promulgated in 1946,premise,logos,,
263,2,Mr,NA,NA,,
264,2,Wallace is right when he says there is nothing in the history or nothing in the Advisory notes that gives you any indication what Congress thought about,claim,interpretation,,
265,2,All they said in the Advisory notes is we intend to continue the traditional practice of grand jury secrecy,premise,logos,,
266,2,And I suggest to this Court,NA,NA,,
267,2,"and they cited three cases, none of which had anything to do with disclosure to an administrative agency",premise,logos,,
268,2,"And, I suggest to this Court that the traditional practice of grand jury secrecy did not include turning the stuff over to IRS to use for civil purposes",premise,logos-pathos,,
269,2,"If it did, it was changed by the 1977 amendment",claim,evaluation-rational,,
270,2,"No, sir",NA,NA,,
271,2,That is right,claim,agreement,,
272,2,"Even in Judge Becker's--
--Your Honor, even in Judge Becker's opinion in Hawthorne, which the government relies on, he said if the IRS",premise,logos-pathos,,
273,2,and we are talking about IRS there,NA,NA,,
274,2,"had access for criminal purposes, their future access",premise,logos-pathos,,
275,2,those were his words,claim,evaluation-emotional,,
276,2,would follow as though there had been no access at all,premise,logos,,
277,2,"That gets difficult, and the Chief Justice asked a question earlier",premise,logos,,
278,2,"He said, well how can he take it out of this side of their mind and put it over in the other side of their mind",premise,logos-pathos,,
279,2,"And, the quick answer is, they cannot,",NA,NA,,
280,2,but I think Congress was trying to do the best they could to see that they would so there would not be any abusive practices in the grand jury,NA,NA,,
281,2,Another thing I would like to speak to is he said his experience is that U,premise,pathos,,
282,2,S,NA,NA,,
283,2,Attorneys cannot be manipulated,claim,evaluation-rational,,
284,2,"I was a federal prosecutor, both with the Anti-trust Division and the Strike Force for ten years, and I have been handling grand jury matters for another 18 years",premise,ethos-logos,,
285,2,"Manipulation is as easy as an IRS saying to the United States Attorney, subpoena the records from this bank",premise,logos,,
286,2,"It may have nothing to do with his Title 18 investigation,",claim,evaluation-emotional,,
287,2,but it would certainly help the civil investigation,NA,NA,,
288,2,"As a normal matter, a U",NA,NA,,
289,2,S,NA,NA,,
290,2,"Attorney could care less, and I use that very advisedly, about tax violations",premise,logos-pathos,,
291,2,He is interested in Title 18 violations,premise,pathos,,
292,2,"For example, let's take an extortion case, or let's take a bribery case",premise,logos-pathos,,
293,2,"His questions are who did you pay, and how much did you pay him, and why did you pay him",premise,logos-pathos,,
294,2,"If a witness knows that IRS is going to be listening at the door and get all of those grand jury secrets, he is going to be very reluctant to speak, and that goes to the fourth reason for secrecy, the impact on the testimony of witnesses should be full and frank",premise,logos-pathos,,
295,2,"Because he does not have any problem saying maybe, or at least he has reached a point saying, alright I am involved in a crime, and I will tell you about this bribery",premise,logos-pathos,,
296,2,I paid this public official,premise,pathos,,
297,2,"But, if he thinks IRS is going to carry his house and his car away, he is going to be very reluctant to talk about that",premise,logos-pathos,,
298,2,"And, that holds over to all grand jury actions that involve money",premise,logos,,
299,2,"What you are doing is giving IRS a partnership in the grand jury proceeding, and I suggest that traditional grand jury history and secrecy as set forth by this Court in many, many cases, Colandra and U",NA,NA,,
300,2,S,NA,NA,,
301,2,v,NA,NA,,
302,2,"Johnson, Blair, and Proctor & Gamble, and Pittsburgh Plate Glass, never contemplated such a thing",premise,logos,,
303,2,Let me make one more point,claim,evaluation-rational,,
304,2,"General Motors filed an amicus brief here, and if you will look",premise,logos-pathos,,
305,2,"I have the page marked,",NA,NA,,
306,2,but I cannot,NA,NA,,
307,2,"there is a long footnote, I think it is page",claim,interpretation,,
308,2,it is footnote 18,claim,interpretation,,
309,2,"IRS asked General Motors for all kinds of documents, and they said, we will give them to you",premise,pathos,,
310,2,We kept copies,premise,logos-pathos,,
311,2,You do not need a 6(e) order,claim,evaluation-rational,,
312,2,"Here you are government--
--Thank you, Your Honor",NA,NA,,
313,3,"Suppose we said, there the word furnished that would be prima facie evidence so to speak",NA,NA,,
314,3,"Suppose you were to say that there were furnished then if the state requires to them the burden of proof as the connotation and if it construed to you and the evidence will probably make it speaking --
(Inaudible)
Is that a clear showing of no prejudice?
Yes",NA,NA,,
315,3,"But --
What – what's a clear showing mean? What that's going to be?
Wouldn't be beyond --
I just wanted to (Inaudible)
What time was it?
When was that?
1951",NA,NA,,
316,3,Was there any other of those taxes that you refer had to pass to the knowledge that was considerable doubt if -- it is whether they see them leave?,premise,logos-pathos,,
317,3,"I was just asking if there --
Is there any doubt about how they will be paid?
Why not, it's in the question?
Except one, that they've done it on this one?
How much does it cost?
You say they haven't supplied an adequate staff, how much -- how did they supplied?
Is there any way to get those cost without too much problem?
If it's two men -- two offenders test, I didn't want to suggest it",NA,NA,,
318,3,"I have an idea that you'd look it up, you'd find that there were a great many rules all over the nation, had a federal license",premise,logos,,
319,3,I know that hit in Alabama,premise,pathos,,
320,3,"But one of those things just stuck up at your place of business to show that you at least – if not licensed, running against the law for them to sell whisky",premise,logos-pathos,,
321,3,Just gave them the right to justify the federal government is concerned,premise,logos,,
322,3,"Is there any state which outlaw's cabaret?
Is that -- is that what you were talking?
Yes",NA,NA,,
323,3,"And that gets down does it not to the question of whether, or wants to get rid of tax or for some other reason, the thing that they can find the answer is are you guilty of violating the gambling or is your failure, that's what it gets to in the final analysis, doesn't it?
Well, if it gets this far?
That's the question",NA,NA,,
324,3,"Well, I, I say you -- had you were talking then about the others too?
When it finally gets down",premise,logos-pathos,,
325,3,The issue is for us to return rather an order to collect any kind of tax,claim,evaluation-rational,,
326,3,The government has power to make a man confess to a crime,premise,logos,,
327,3,"Is that not right?
Well, I understand you --
--",NA,NA,,
328,3,"but is that -- that the final question involved with reference to the inquiry?
Well, aren't they interested in making him confess whether he is engaged in as a gambler",NA,NA,,
329,3,"Isn't that the issue of fact?
On which it depends?
Well, what is it?
Not that the reason",NA,NA,,
330,3,"What is the issue of fact between the government and one that wants to pay taxes for gambling when it wants to ask, where did you get your money?
What is the issue if not that this was gambling?
Well then, then you're saying -- then you're saying, if there is a difference in the kind of information they asked a man to give",NA,NA,,
331,3,"And you're saying -- you're saying if they can -- the man that he pays his tax that they must stop the time when they seek to make him incriminate himself, are you not?
You're not saying",NA,NA,,
332,3,"But you have --
--",NA,NA,,
333,3,"but you're saying that's not the issue?
So do I",NA,NA,,
334,3,"It's – it's a --
You say that whether a man shall be compelled to admit that he has committed a crime in order to pay his tax",premise,logos-pathos,,
335,3,"Basically, that's the issue",claim,evaluation-rational,,
336,3,Maybe the government tried and it can make him violate,premise,logos-pathos,,
337,3,because of the Fifth Amendment,premise,logos,,
338,3,"But that's if --
Yes",NA,NA,,
339,3,That is belief,claim,evaluation-rational,,
340,3,That is belief,claim,evaluation-rational,,
341,3,"-- they just started to (Inaudible)
It's a substantial reason --
(Inaudible)
I just want to ask you this question about the six weeks, how did it happen to take six weeks to -- if you tell me just lay it briefly",NA,NA,,
